,Title,year,location,Latitude,Longitude
245,0511 TV Lokal,2007,"Barsinghausen, Region Hannover, Niedersachsen, 30890, Deutschland",52.30223,9.4623741
246,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
247,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
248,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
249,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
250,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
251,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
252,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
253,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
254,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
255,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
256,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
257,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
258,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
259,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
260,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
261,0511 TV Lokal,2004,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
262,0511 TV Lokal,2007,"Lehrte, Region Hannover, Niedersachsen, 31275, Deutschland",52.3749334,9.9748557
263,0511 TV Lokal,2004,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
264,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
265,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
266,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
267,0511 TV Lokal,2007,"Celle, Landkreis Celle, Niedersachsen, 29221, Deutschland",52.624056,10.081052
268,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
269,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
270,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
271,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
272,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
273,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
274,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
275,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
276,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
277,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
278,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
279,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
280,0511 TV Lokal,2004,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
281,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
282,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
283,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
284,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
285,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
286,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
287,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
288,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
289,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
